id	title	vertical	host	scope	languages	authority
windy	Windy	weather	windy.com	windy.com	*	0.7
noaa_weather	NOAA Weather	weather	weather.gov	weather.gov	*	0.95
china_weather	China Weather	weather	weather.com.cn	weather.com.cn	zh	0.85
openstreetmap	OpenStreetMap	maps_local	openstreetmap.org	openstreetmap.org	*	0.85
google_maps	Google Maps	maps_local	maps.google.com	maps.google.com	*	0.7
bing_maps	Bing Maps	maps_local	bing.com	bing.com/maps	*	0.7
amap	Amap	maps_local	amap.com	amap.com	zh	0.7
baidu_maps	Baidu Maps	maps_local	map.baidu.com	map.baidu.com	zh	0.7
mapquest	MapQuest	maps_local	mapquest.com	mapquest.com	*	0.7
allrecipes	Allrecipes	food	allrecipes.com	allrecipes.com	*	0.7
serious_eats	Serious Eats	food	seriouseats.com	seriouseats.com	*	0.7
epicurious	Epicurious	food	epicurious.com	epicurious.com	*	0.7
food_network	Food Network	food	foodnetwork.com	foodnetwork.com	*	0.7
dianping	Dianping	food	dianping.com	dianping.com	zh	0.7
xiachufang	Xiachufang	food	xiachufang.com	xiachufang.com	zh	0.7
khan_academy	Khan Academy	education	khanacademy.org	khanacademy.org	*	0.85
coursera	Coursera	education	coursera.org	coursera.org	*	0.7
edx	edX	education	edx.org	edx.org	*	0.7
mit_ocw	MIT OpenCourseWare	education	ocw.mit.edu	ocw.mit.edu	*	0.9
openstax	OpenStax	education	openstax.org	openstax.org	*	0.9
xuetangx	XuetangX	education	xuetangx.com	xuetangx.com	zh	0.7
linkedin_jobs	LinkedIn Jobs	jobs	linkedin.com	linkedin.com/jobs	*	0.7
indeed	Indeed	jobs	indeed.com	indeed.com	*	0.7
glassdoor	Glassdoor	jobs	glassdoor.com	glassdoor.com	*	0.7
ziprecruiter	ZipRecruiter	jobs	ziprecruiter.com	ziprecruiter.com	*	0.7
boss_zhipin	BOSS Zhipin	jobs	zhipin.com	zhipin.com	zh	0.7
lagou	Lagou	jobs	lagou.com	lagou.com	zh	0.7
china_government	China Government	government	gov.cn	gov.cn	zh	0.95
usa_government	USA.gov	government	usa.gov	usa.gov	*	0.95
uk_government	GOV.UK	government	gov.uk	gov.uk	*	0.95
europa	European Union	government	europa.eu	europa.eu	*	0.95
united_nations	United Nations	government	un.org	un.org	*	0.95
oecd	OECD	government	oecd.org	oecd.org	*	0.9
cornell_law	Cornell Legal Information Institute	legal	law.cornell.edu	law.cornell.edu	*	0.95
courtlistener	CourtListener	legal	courtlistener.com	courtlistener.com	*	0.9
justia	Justia	legal	justia.com	justia.com	*	0.8
eur_lex	EUR-Lex	legal	eur-lex.europa.eu	eur-lex.europa.eu	*	0.95
china_laws	China National Laws Database	legal	flk.npc.gov.cn	flk.npc.gov.cn	zh	0.95
china_judgments	China Judgments Online	legal	wenshu.court.gov.cn	wenshu.court.gov.cn	zh	0.9
google_patents	Google Patents	patents	patents.google.com	patents.google.com	*	0.9
wipo_patents	WIPO Patentscope	patents	patentscope.wipo.int	patentscope.wipo.int	*	0.95
uspto_patents	USPTO Patent Search	patents	ppubs.uspto.gov	ppubs.uspto.gov	*	0.95
espacenet	Espacenet	patents	worldwide.espacenet.com	worldwide.espacenet.com	*	0.95
lens_patents	The Lens	patents	lens.org	lens.org	*	0.9
cnipa_patents	CNIPA	patents	cnipa.gov.cn	cnipa.gov.cn	zh	0.95
google_books	Google Books	books	books.google.com	books.google.com	*	0.7
open_library	Open Library	books	openlibrary.org	openlibrary.org	*	0.85
project_gutenberg	Project Gutenberg	books	gutenberg.org	gutenberg.org	*	0.85
worldcat	WorldCat	books	worldcat.org	worldcat.org	*	0.9
archive_books	Internet Archive Books	books	archive.org	archive.org/details/texts	*	0.85
douban_books	Douban Books	books	book.douban.com	book.douban.com	zh	0.7
spotify	Spotify	audio	open.spotify.com	open.spotify.com	*	0.7
apple_music	Apple Music	audio	music.apple.com	music.apple.com	*	0.7
soundcloud	SoundCloud	audio	soundcloud.com	soundcloud.com	*	0.7
bandcamp	Bandcamp	audio	bandcamp.com	bandcamp.com	*	0.7
podcast_index	Podcast Index	audio	podcastindex.org	podcastindex.org	*	0.7
netease_music	NetEase Cloud Music	audio	music.163.com	music.163.com	zh	0.7
imdb	IMDb	entertainment	imdb.com	imdb.com	*	0.7
tmdb	The Movie Database	entertainment	themoviedb.org	themoviedb.org	*	0.7
rotten_tomatoes	Rotten Tomatoes	entertainment	rottentomatoes.com	rottentomatoes.com	*	0.7
letterboxd	Letterboxd	entertainment	letterboxd.com	letterboxd.com	*	0.7
douban_movies	Douban Movies	entertainment	movie.douban.com	movie.douban.com	zh	0.7
mtime	Mtime	entertainment	mtime.com	mtime.com	zh	0.7
nvd	NVD	cybersecurity	nvd.nist.gov	nvd.nist.gov	*	0.95
cve	CVE	cybersecurity	cve.org	cve.org	*	0.95
mitre_attack	MITRE ATT&CK	cybersecurity	attack.mitre.org	attack.mitre.org	*	0.95
cisa	CISA	cybersecurity	cisa.gov	cisa.gov	*	0.95
exploit_db	Exploit Database	cybersecurity	exploit-db.com	exploit-db.com	*	0.8
snyk_vulnerability	Snyk Vulnerability Database	cybersecurity	security.snyk.io	security.snyk.io	*	0.8
huggingface_models	Hugging Face Models	ai_models	huggingface.co	huggingface.co/models	*	0.7
modelscope_models	ModelScope Models	ai_models	modelscope.cn	modelscope.cn/models	zh	0.7
ollama_library	Ollama Library	ai_models	ollama.com	ollama.com/library	*	0.7
openai_models	OpenAI Models	ai_models	platform.openai.com	platform.openai.com/docs/models	*	0.9
anthropic_models	Anthropic Models	ai_models	docs.anthropic.com	docs.anthropic.com	*	0.9
google_ai_models	Google AI Models	ai_models	ai.google.dev	ai.google.dev	*	0.9
kaggle_datasets	Kaggle Datasets	datasets	kaggle.com	kaggle.com/datasets	*	0.7
huggingface_datasets	Hugging Face Datasets	datasets	huggingface.co	huggingface.co/datasets	*	0.7
google_dataset_search	Google Dataset Search	datasets	datasetsearch.research.google.com	datasetsearch.research.google.com	*	0.7
data_gov	Data.gov	datasets	data.gov	data.gov	*	0.9
zenodo	Zenodo	datasets	zenodo.org	zenodo.org	*	0.9
uci_datasets	UCI Machine Learning Repository	datasets	archive.ics.uci.edu	archive.ics.uci.edu	*	0.9
edmunds	Edmunds	automotive	edmunds.com	edmunds.com	*	0.7
kbb	Kelley Blue Book	automotive	kbb.com	kbb.com	*	0.7
car_and_driver	Car and Driver	automotive	caranddriver.com	caranddriver.com	*	0.7
motortrend	MotorTrend	automotive	motortrend.com	motortrend.com	*	0.7
autohome	Autohome	automotive	autohome.com.cn	autohome.com.cn	zh	0.7
dongchedi	Dongchedi	automotive	dongchedi.com	dongchedi.com	zh	0.7
zillow	Zillow	real_estate	zillow.com	zillow.com	*	0.7
realtor	Realtor.com	real_estate	realtor.com	realtor.com	*	0.7
redfin	Redfin	real_estate	redfin.com	redfin.com	*	0.7
rightmove	Rightmove	real_estate	rightmove.co.uk	rightmove.co.uk	*	0.7
fang	Fang.com	real_estate	fang.com	fang.com	zh	0.7
lianjia	Lianjia	real_estate	lianjia.com	lianjia.com	zh	0.7
eventbrite	Eventbrite	events	eventbrite.com	eventbrite.com	*	0.7
meetup	Meetup	events	meetup.com	meetup.com	*	0.7
ten_times	10times	events	10times.com	10times.com	*	0.7
ticketmaster	Ticketmaster	events	ticketmaster.com	ticketmaster.com	*	0.7
damai	Damai	events	damai.cn	damai.cn	zh	0.7
live_nation	Live Nation	events	livenation.com	livenation.com	*	0.7
home_assistant	Home Assistant	smart_home	home-assistant.io	home-assistant.io	*	0.9
matter	Matter	smart_home	csa-iot.org	csa-iot.org	*	0.9
smartthings	SmartThings	smart_home	smartthings.com	smartthings.com	*	0.7
apple_home	Apple Home	smart_home	support.apple.com	support.apple.com/home	*	0.7
google_nest	Google Nest	smart_home	support.google.com	support.google.com/googlenest	*	0.7
openhab	openHAB	smart_home	openhab.org	openhab.org	*	0.85
